timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211471.300,-62.500,-21.484,-21.484,-37.109,-166.992
1671211471.304,1.465,-11.719,-14.648,-20.020,-102.051
1671211471.308,3.906,-13.184,-16.113,-6.836,63.477
1671211471.312,-51.270,-13.672,-23.926,-17.578,37.109
1671211471.316,-85.449,-13.672,-25.391,-30.273,-90.820
1671211471.320,-53.711,-16.113,-25.879,-30.762,-101.562
1671211471.324,0.488,-16.113,-28.809,-15.625,266.602
1671211471.327,11.719,-10.254,-15.137,-10.742,157.715
1671211471.331,-29.785,-10.742,-17.578,-21.484,-184.570
1671211471.335,-72.266,-16.602,-30.273,-25.391,-116.699
1671211471.339,-56.641,-13.184,-27.832,-35.645,-83.008
1671211471.343,2.930,-13.672,-24.902,-39.062,-129.395
1671211471.348,23.438,-16.602,-23.438,-21.973,-94.238,0
1671211471.352,-18.555,-17.578,-24.414,-11.230,108.398,0
1671211471.356,-68.359,-19.531,-26.367,-20.508,133.301,0
1671211471.360,-66.895,-15.625,-28.320,-32.715,-47.363,0
1671211471.364,-11.230,-13.672,-24.414,-29.297,-63.965,0
1671211471.368,17.090,-14.648,-24.902,-14.160,47.852,0
1671211471.372,-19.531,-20.996,-24.414,-12.207,55.664,0
1671211471.375,-67.383,-20.508,-17.090,-24.414,-37.109,0
1671211471.379,-69.824,-17.090,-20.996,-28.809,-122.559,0
1671211471.383,-16.602,-19.043,-28.320,-26.367,45.898,0
1671211471.387,17.578,-17.578,-29.297,-25.879,-16.602,0
1671211471.391,-12.695,-14.648,-28.320,-27.344,-192.383,0
1671211471.406,-61.523,-15.625,-26.367,-24.902,-74.219,0
1671211471.410,-68.848,-17.090,-22.461,-29.785,42.969,0
1671211471.414,-28.320,-16.113,-18.066,-36.621,34.668,0
1671211471.418,12.695,-14.648,-22.461,-27.344,-20.996,0
1671211471.422,-7.812,-16.602,-31.738,-25.391,0.488,0
1671211471.426,-61.035,-22.461,-30.762,-25.391,330.078,0
1671211471.430,-78.613,-22.949,-29.297,-35.156,276.855,0
1671211471.433,-44.922,-22.461,-29.297,-50.781,-85.449,0
1671211471.437,12.695,-19.043,-25.879,-27.832,-57.617,0
1671211471.441,3.906,-16.602,-29.297,-15.625,-15.625,0
1671211471.445,-67.383,-20.020,-30.762,-35.156,-73.730,0
1671211471.449,-92.285,-19.043,-27.832,-45.898,-103.027,0
1671211471.450,-42.480,-12.207,-29.785,-40.527,-59.082,0
1671211471.454,13.184,-10.254,-22.949,-31.250,-39.551,0
