timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211769.410,-29.297,-25.879,-17.578,-11.719,-151.855
1671211769.414,-48.828,-26.367,-14.648,-8.789,30.273
1671211769.418,-47.363,-31.738,-21.484,-15.625,151.367
1671211769.422,-25.391,-25.879,-31.738,-31.738,-158.691
1671211769.426,-10.742,-21.973,-31.250,-25.879,-200.684
1671211769.430,-31.738,-29.297,-21.973,-19.531,56.641
1671211769.434,-44.922,-30.762,-12.207,-21.484,56.641
1671211769.437,-38.086,-21.973,-18.555,-27.832,-94.727
1671211769.441,-13.672,-18.555,-26.855,-34.668,-119.629
1671211769.445,1.953,-22.461,-24.902,-26.855,65.430
1671211769.449,-21.484,-15.137,-18.555,-17.578,104.980
1671211769.453,-47.363,-12.695,-14.648,-19.531,-88.379
1671211769.456,-46.387,-22.461,-18.066,-27.832,-76.660,0
1671211769.460,-27.832,-22.949,-24.414,-34.668,-16.602,0
1671211769.464,-10.742,-20.508,-23.438,-28.320,-10.254,0
1671211769.468,-11.230,-20.996,-18.066,-11.230,-61.523,0
1671211769.472,-37.109,-17.578,-18.066,-9.277,10.742,0
1671211769.476,-42.480,-17.578,-17.090,-14.648,75.684,0
1671211769.480,-14.648,-17.090,-15.625,-17.578,3.418,0
1671211769.483,2.441,-21.973,-20.020,-24.902,-29.785,0
1671211769.487,-8.301,-23.926,-18.066,-21.973,78.613,0
1671211769.491,-33.691,-17.090,-16.602,-9.277,378.418,0
1671211769.495,-44.434,-17.090,-22.949,-16.113,192.383,0
1671211769.499,-24.902,-19.531,-28.320,-30.762,-104.492,0
1671211769.501,-6.348,-16.113,-28.809,-30.273,-27.832,0
1671211769.505,-15.137,-15.137,-24.902,-22.461,-29.785,0
1671211769.509,-38.086,-22.461,-20.020,-26.855,-69.824,0
1671211769.513,-53.711,-25.879,-16.602,-38.574,-85.449,0
1671211769.517,-31.250,-22.461,-10.254,-28.809,-76.660,0
1671211769.521,-3.906,-24.414,-16.602,-24.414,-14.648,0
1671211769.525,-2.930,-20.996,-23.926,-16.602,-0.977,0
1671211769.528,-24.902,-17.578,-17.090,-5.859,-64.941,0
1671211769.532,-39.062,-20.996,-9.277,-2.441,153.320,0
1671211769.536,-24.414,-12.695,-6.836,-2.930,210.449,0
1671211769.540,-3.418,-9.277,-13.672,-14.648,-161.133,0
1671211769.544,2.441,-13.184,-18.066,-12.695,-119.141,0
1671211769.546,-24.902,-12.207,-15.137,-5.859,2.441,0
1671211769.550,-39.062,-10.254,-13.672,-10.254,-62.500,0
1671211769.554,-28.320,-16.602,-20.020,-20.508,-135.742,0
1671211769.558,-8.789,-19.043,-16.602,-19.531,-108.398,0
1671211769.562,-0.977,-17.578,-14.648,-19.043,-25.879,0
1671211769.566,-32.715,-22.949,-16.602,-23.926,68.848,0
1671211769.570,-58.105,-23.926,-15.137,-22.461,117.188,0
1671211769.573,-41.504,-23.926,-17.578,-27.344,102.539,0
1671211769.577,-13.184,-21.973,-14.648,-21.973,406.738,0
1671211769.581,-7.324,-16.602,-14.648,-15.625,277.344,0
1671211769.585,-25.879,-10.254,-19.531,-19.531,-111.816,0
1671211769.589,-48.340,-18.555,-18.555,-24.902,-33.691,0
1671211769.590,-43.457,-21.973,-29.297,-33.691,-41.992,0
1671211769.594,-14.648,-13.184,-35.156,-26.367,-128.418,0
1671211769.598,-15.137,-17.090,-20.996,-17.090,-111.328,0
1671211769.602,-33.203,-18.066,-19.043,-13.184,-81.055,0
1671211769.606,-55.176,-13.184,-26.367,-13.184,-75.684,0
1671211769.610,-54.199,-14.648,-21.484,-27.344,-52.734,0
1671211769.614,-28.320,-18.066,-22.461,-32.227,-75.195,0
1671211769.617,-9.766,-20.508,-18.555,-14.160,145.996,0
1671211769.621,-23.438,-18.066,-9.277,-17.578,168.945,0
1671211769.625,-47.363,-15.137,-9.766,-24.902,-128.906,0
1671211769.629,-44.922,-17.578,-20.020,-22.949,-131.348,0
1671211769.633,-33.691,-21.484,-24.902,-33.203,-31.738,0
1671211769.636,-16.602,-19.043,-18.066,-28.320,-85.449,0
1671211769.640,-17.578,-13.184,-15.625,-17.578,-81.543,0
1671211769.644,-47.363,-20.020,-13.184,-14.648,-20.996,0
1671211769.648,-50.293,-20.508,-18.066,-17.578,-26.855,0
1671211769.652,-31.250,-12.695,-23.926,-30.273,-72.754,0
1671211769.656,-17.090,-14.160,-20.508,-36.133,-19.043,0
1671211769.660,-18.066,-15.137,-23.926,-32.715,155.762,0
1671211769.663,-44.434,-13.184,-22.461,-24.414,429.199,0
1671211769.667,-60.547,-13.184,-25.879,-32.715,213.867,0
1671211769.671,-50.781,-18.066,-25.879,-40.527,-170.410,0
1671211769.675,-23.438,-22.949,-12.695,-30.273,-132.324,0
1671211769.679,-16.602,-26.855,-15.137,-25.879,-98.633,0
1671211769.682,-35.156,-25.391,-20.020,-17.578,-159.180,0
1671211769.686,-51.270,-22.461,-24.414,-19.043,-116.211,0
1671211769.690,-43.945,-22.949,-27.344,-25.391,25.879,0
1671211769.694,-12.207,-20.508,-24.902,-20.020,-36.133,0
